InvoiceDate,Customer ID,Country
2009-12-01 07:45:00,13085.0,United Kingdom
2009-12-01 07:46:00,13085.0,United Kingdom
2009-12-01 09:06:00,13078.0,United Kingdom
2009-12-01 09:08:00,15362.0,United Kingdom
2009-12-01 09:24:00,18102.0,United Kingdom
2009-12-01 09:28:00,12682.0,France
2009-12-01 09:43:00,18087.0,United Kingdom
2009-12-01 09:44:00,18087.0,United Kingdom
2009-12-01 09:46:00,13635.0,United Kingdom
2009-12-01 09:50:00,14110.0,United Kingdom
2009-12-01 09:55:00,12636.0,USA
2009-12-01 09:57:00,17519.0,United Kingdom
2009-12-01 10:06:00,13758.0,United Kingdom
2009-12-01 10:10:00,12362.0,Belgium
2009-12-01 10:18:00,15413.0,United Kingdom
2009-12-01 10:33:00,16321.0,Australia
2009-12-01 10:36:00,16321.0,Australia
2009-12-01 10:44:00,17592.0,United Kingdom
2009-12-01 10:46:00,16167.0,United Kingdom
2009-12-01 10:49:00,17865.0,United Kingdom
2009-12-01 10:49:00,17592.0,United Kingdom
2009-12-01 10:52:00,13767.0,United Kingdom
2009-12-01 10:55:00,13293.0,United Kingdom
2009-12-01 10:59:00,17238.0,United Kingdom
2009-12-01 11:04:00,16011.0,United Kingdom
2009-12-01 11:10:00,13916.0,United Kingdom
2009-12-01 11:17:00,15712.0,United Kingdom
2009-12-01 11:21:00,15311.0,United Kingdom
2009-12-01 11:34:00,16329.0,United Kingdom
2009-12-01 11:35:00,15461.0,United Kingdom
2009-12-01 11:37:00,17700.0,United Kingdom
2009-12-01 11:41:00,14911.0,EIRE
2009-12-01 11:45:00,15998.0,United Kingdom
2009-12-01 11:46:00,12931.0,United Kingdom
2009-12-01 11:48:00,15614.0,United Kingdom
2009-12-01 11:50:00,12533.0,Germany
2009-12-01 11:50:00,16128.0,United Kingdom
2009-12-01 11:50:00,16714.0,United Kingdom
2009-12-01 11:51:00,17984.0,United Kingdom
2009-12-01 11:56:00,14748.0,United Kingdom
2009-12-01 11:57:00,14871.0,United Kingdom
2009-12-01 11:58:00,13394.0,United Kingdom
2009-12-01 12:02:00,16011.0,United Kingdom
2009-12-01 12:09:00,12615.0,France
2009-12-01 12:11:00,15299.0,United Kingdom
2009-12-01 12:13:00,16393.0,United Kingdom
2009-12-01 12:14:00,14040.0,United Kingdom
2009-12-01 12:18:00,15796.0,United Kingdom
2009-12-01 12:18:00,12913.0,United Kingdom
2009-12-01 12:18:00,15091.0,United Kingdom
2009-12-01 12:18:00,15061.0,United Kingdom
2009-12-01 12:19:00,15061.0,United Kingdom
2009-12-01 12:19:00,14292.0,United Kingdom
